111345	Thumb Up
82811	Thumb Up
60986	Swiping Down
77826	Stop Sign
147567	Swiping Right
22625	Swiping Up
52475	Thumb Up
41958	Swiping Down
107994	Swiping Right
112927	Stop Sign
142881	Thumb Up
136631	Swiping Up
57207	Stop Sign
125044	Swiping Left
136447	No gesture
53126	Swiping Right
50814	Stop Sign
81522	Swiping Down
91934	Stop Sign
101926	Swiping Right
29008	Swiping Down
25646	Swiping Down
36915	Swiping Down
140992	Swiping Up
8562	Swiping Down
80006	Swiping Right
28745	Stop Sign
46798	Swiping Up
114007	Swiping Up
118037	Swiping Right
127581	No gesture
52624	Swiping Up
14371	Swiping Down
103729	Stop Sign
24108	Swiping Left
134892	Thumb Up
24788	Swiping Up
105310	Swiping Up
133975	Stop Sign
74957	Swiping Up
81263	Swiping Down
78704	No gesture
147666	Swiping Down
102417	Swiping Up
110037	Stop Sign
29716	Swiping Down
98728	Swiping Right
108976	Swiping Right
705	Swiping Up
77873	Thumb Up
106871	Thumb Up
85047	Thumb Up
112724	Swiping Up
112010	Swiping Up
37407	Thumb Up
78727	Swiping Up
33919	Swiping Left
134300	Swiping Up
133970	Thumb Up
95699	Swiping Left
147019	Stop Sign
128032	Thumb Up
57142	Swiping Down
29891	Swiping Up
104089	No gesture
92831	Stop Sign
138426	No gesture
103344	Swiping Down
29243	Swiping Left
26412	Stop Sign
53991	Stop Sign
133503	Stop Sign
143089	Swiping Right
31658	Stop Sign
7031	Thumb Up
110524	Swiping Down
16058	Swiping Down
105201	Thumb Up
59378	Swiping Left
80239	Swiping Right
75034	Thumb Up
102927	Thumb Up
6782	Swiping Left
12192	Swiping Right
60597	Swiping Left
55426	Swiping Left
2494	Thumb Up
66923	Swiping Left
26623	Swiping Down
128466	Swiping Down
80669	Swiping Left
87601	Swiping Down
24459	Swiping Down
106613	Stop Sign
74750	Stop Sign
60766	Swiping Down
102957	Swiping Up
80261	Swiping Left
93195	Swiping Right
147243	Stop Sign
74641	Thumb Up
94093	Swiping Up
142694	Swiping Up
130636	Stop Sign
139561	Swiping Down
7986	No gesture
428	No gesture
78502	Swiping Left
47883	Swiping Up
7003	Swiping Right
30895	Swiping Right
73938	Swiping Up
68541	Swiping Up
87224	Swiping Right
146842	Swiping Up
131708	Swiping Down
87664	Swiping Up
104988	No gesture
120961	Swiping Down
67411	Swiping Left
32901	Thumb Up
61404	Stop Sign
136554	No gesture
136079	Stop Sign
141811	Swiping Up
99986	Swiping Left
18999	Thumb Up
143188	Thumb Up
114248	Stop Sign
58027	Swiping Left
134494	Thumb Up
23248	Stop Sign
61990	Stop Sign
46174	Stop Sign
145481	Stop Sign
99256	Thumb Up
35105	Swiping Down
117847	Swiping Down
87141	Swiping Left
25913	Thumb Up
124180	Stop Sign
145443	Swiping Down
61244	Swiping Right
18726	Swiping Down
114671	Swiping Right
93607	Stop Sign
108656	Swiping Down
33212	Thumb Up
62001	Thumb Up
112200	Stop Sign
145162	Swiping Down
111411	No gesture
91499	Swiping Left
119088	No gesture
100177	Thumb Up
19695	No gesture
18828	No gesture
41253	Swiping Up
63627	Swiping Right
4911	No gesture
51374	No gesture
34178	Swiping Right
22445	No gesture
104966	Thumb Up
31683	Stop Sign
22248	Thumb Up
41301	Stop Sign
142614	Swiping Up
50477	Swiping Down
33580	Stop Sign
8148	Swiping Up
110739	Swiping Right
85393	Swiping Up
67803	Thumb Up
117723	Swiping Left
2963	Stop Sign
31890	Swiping Down
114185	Swiping Left
58183	Swiping Right
98628	Swiping Left
123756	Stop Sign
89343	Swiping Up
83604	Thumb Up
15205	Swiping Down
107965	Swiping Down
69628	Swiping Left
142015	Thumb Up
104449	Swiping Right
66521	Swiping Left
15724	Swiping Down
120895	Swiping Down
117172	Swiping Down
88339	Swiping Left
107496	Swiping Right
92358	Swiping Up
19005	Swiping Left
135211	Swiping Up
1695	Swiping Right
54278	Swiping Up
43170	Thumb Up
16339	No gesture
53441	Stop Sign
138466	Swiping Right
71659	Thumb Up
39874	No gesture
42212	Stop Sign
53231	Thumb Up
110429	Swiping Down
94687	Swiping Left
58397	Swiping Down
95405	Swiping Right
72396	Swiping Right
66307	Stop Sign
55286	Swiping Down
35875	Swiping Up
11879	Stop Sign
16046	Swiping Left
115677	No gesture
30263	Swiping Down
103599	Swiping Left
127231	Swiping Right
56278	Stop Sign
49699	Swiping Up
111511	Swiping Down
137508	Swiping Down
48786	No gesture
80470	Swiping Right
86941	Stop Sign
57539	Stop Sign
21291	Thumb Up
79743	Swiping Left
105491	Thumb Up
79296	Stop Sign
39345	Stop Sign
67226	Stop Sign
128910	Thumb Up
73460	Swiping Left
144139	Stop Sign
118512	No gesture
127255	Swiping Left
51849	Swiping Down
23800	Thumb Up
55246	Swiping Up
71465	Swiping Down
68472	Stop Sign
2420	Swiping Left
63727	Swiping Up
456	No gesture
62942	Swiping Left
81821	Swiping Up
60692	Swiping Left
31941	Stop Sign
56799	Swiping Left
94989	No gesture
50450	Swiping Up
20957	Swiping Up
17924	No gesture
29441	No gesture
53277	Stop Sign
3545	Swiping Left
90042	Swiping Right
50277	Swiping Down
47146	No gesture
48059	Stop Sign
107584	Swiping Right
115494	Thumb Up
66658	Swiping Right
60346	Thumb Up
36095	Thumb Up
69292	Stop Sign
132909	Swiping Left
37176	Swiping Down
146006	No gesture
51680	Swiping Right
59003	Swiping Right
106803	Swiping Up
141304	Swiping Down
106633	Stop Sign
39214	Swiping Left
8671	Swiping Up
28536	Swiping Down
22286	Swiping Up
84178	Swiping Up
142574	Stop Sign
19015	Swiping Right
454	Swiping Up
100211	Swiping Up
108537	Swiping Up
62660	Swiping Down
72064	No gesture
30139	Stop Sign
105429	Swiping Right
94855	Thumb Up
89760	Swiping Down
21479	Stop Sign
92672	Swiping Down
120245	Swiping Right
110176	Thumb Up
101451	Thumb Up
53919	No gesture
46185	Stop Sign
44706	Swiping Down
105521	Swiping Right
24762	Thumb Up
48313	Swiping Down
116419	Swiping Left
38325	Thumb Up
116530	Swiping Right
54248	Thumb Up
62674	Stop Sign
63186	Thumb Up
57191	No gesture
62581	Stop Sign
14497	No gesture
109660	No gesture
143563	Swiping Up
5814	Swiping Down
82003	No gesture
75816	Thumb Up
71844	Swiping Up
121467	Swiping Down
78939	No gesture
78971	No gesture
96083	Swiping Right
88203	Swiping Right
3151	Swiping Up
30412	Swiping Down
108549	Swiping Up
118410	Swiping Down
5085	Swiping Up
138799	Thumb Up
9795	Thumb Up
139698	Thumb Up
122675	Swiping Left
122387	Swiping Left
78585	Stop Sign
74288	No gesture
28393	Swiping Left
57360	Stop Sign
70075	No gesture
140474	No gesture
56059	Swiping Up
97415	Swiping Right
128837	Stop Sign
7151	Swiping Down
93742	Swiping Up
96453	Swiping Right
59005	Stop Sign
139544	Thumb Up
106042	Swiping Left
100414	Stop Sign
24569	No gesture
137527	Swiping Down
28898	Stop Sign
106332	Swiping Down
3813	Swiping Left
59457	Thumb Up
72183	Swiping Left
79530	Swiping Right
139186	Swiping Up
21230	Stop Sign
129806	Stop Sign
78469	No gesture
59911	Thumb Up
3618	Swiping Left
5103	Swiping Down
61986	No gesture
113013	No gesture
12275	Swiping Left
55394	Swiping Down
80634	Thumb Up
70689	Swiping Up
96751	No gesture
95900	Stop Sign
17330	Swiping Left
57523	Swiping Right
51	Swiping Right
50484	No gesture
102506	No gesture
32989	Swiping Right
121928	Swiping Down
8438	Swiping Down
34440	Swiping Down
15255	Swiping Left
115861	Swiping Up
138488	Swiping Left
88682	Stop Sign
117667	Thumb Up
52204	Thumb Up
87658	Swiping Up
97992	Swiping Up
12957	Swiping Down
29954	Thumb Up
41905	Swiping Left
14849	Thumb Up
59691	Stop Sign
88613	No gesture
89559	Thumb Up
82022	Swiping Left
40583	Stop Sign
17463	Thumb Up
117748	Swiping Right
56218	Stop Sign
53503	Swiping Right
87545	Stop Sign
107775	Swiping Right
77870	Swiping Right
63959	No gesture
99832	Stop Sign
11374	Thumb Up
41349	Swiping Down
123610	Stop Sign
102657	Swiping Down
24509	Thumb Up
95457	Swiping Right
139473	Swiping Up
101311	Thumb Up
131978	Stop Sign
101848	Thumb Up
39805	Thumb Up
114718	Swiping Left
1214	Swiping Left
143050	No gesture
113215	Swiping Up
44379	No gesture
113898	Stop Sign
95220	Swiping Down
34355	Swiping Right
48162	Swiping Left
47468	Swiping Right
24471	Stop Sign
142575	Swiping Left
117637	Stop Sign
602	Swiping Left
3065	Swiping Up
23507	Thumb Up
61849	Swiping Down
51277	Swiping Left
1940	No gesture
132676	Stop Sign
68350	No gesture
108416	Swiping Down
98740	Stop Sign
86416	Swiping Left
136849	Thumb Up
